
UniProt accession:I1RAE5
GO ID	Go Term	GO Evidence Code
GO:0036166	phenotypic switching	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms	IMP	

UniProt accession:Q7Z9J6
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q9C1U1
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	
GO:0007165	signal transduction	IEA	
GO:0016310	phosphorylation	IEA	
GO:0023014	signal transduction by phosphorylation	IEA	

UniProt accession:I1RGD6
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:D2E9W8
GO ID	Go Term	GO Evidence Code
GO:0055085	transmembrane transport	IEA	

UniProt accession:Q9RQU7
GO ID	Go Term	GO Evidence Code
GO:0071973	bacterial-type flagellum-dependent cell motility	IEA	

UniProt accession:C6ZRH8
GO ID	Go Term	GO Evidence Code
GO:0055085	transmembrane transport	IEA	

UniProt accession:Q6FPV9
GO ID	Go Term	GO Evidence Code
GO:0000165	MAPK cascade	IEA	
GO:0006402	mRNA catabolic process	IMP	
GO:0006468	protein phosphorylation	IEA	
GO:0009266	response to temperature stimulus	IMP	
GO:0016310	phosphorylation	IEA	
GO:0034976	response to endoplasmic reticulum stress	IMP	
GO:0035690	cellular response to drug	IMP	

UniProt accession:J9MBA2
GO ID	Go Term	GO Evidence Code
GO:0006629	lipid metabolic process	IEA	

UniProt accession:Q59PF9
GO ID	Go Term	GO Evidence Code
GO:0007155	cell adhesion	IEA	
GO:0009405	pathogenesis	IEA	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0044011	single-species biofilm formation on inanimate substrate	IMP	
GO:0044406	adhesion of symbiont to host	IMP	

UniProt accession:G4MTF9
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	

UniProt accession:P00445
GO ID	Go Term	GO Evidence Code
GO:0001320	age-dependent response to reactive oxygen species involved in chronological cell aging	IMP	
GO:0006801	superoxide metabolic process	IEA	
GO:0006801	superoxide metabolic process	IMP	
GO:0006878	cellular copper ion homeostasis	IMP	
GO:0006882	cellular zinc ion homeostasis	IMP	
GO:0019430	removal of superoxide radicals	IEA	
GO:0019430	removal of superoxide radicals	IDA	
GO:0031505	fungal-type cell wall organization	IMP	
GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress	IMP	
GO:0050821	protein stabilization	IMP	
GO:0050821	protein stabilization	IPI	
GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity	IMP	
GO:0055114	oxidation-reduction process	IEA	
GO:1901856	negative regulation of cellular respiration	IMP	

UniProt accession:J9VQA5
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0055085	transmembrane transport	IEA	

UniProt accession:Q4P8W4
GO ID	Go Term	GO Evidence Code
GO:0007049	cell cycle	IEA	
GO:0045860	positive regulation of protein kinase activity	IEA	

UniProt accession:Q8J1X6
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:P0CS63
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:I1RH87
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0051301	cell division	IEA	

UniProt accession:W7LWT0
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:G4MRB0
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IMP	

UniProt accession:C1KJI7
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:Q0GBR6
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:C4Y985
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:G4N8A1
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	
GO:0030259	lipid glycosylation	IEA	

UniProt accession:Q4ZXG1
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006352	DNA-templated transcription, initiation	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:Q96X31
GO ID	Go Term	GO Evidence Code
GO:0000165	MAPK cascade	IEA	
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:O13359
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:G4N4P0
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0008150	biological_process	ND	

UniProt accession:G4N6V5
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:V9GNU9
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:I1RQ89
GO ID	Go Term	GO Evidence Code
GO:0035556	intracellular signal transduction	IEA	
GO:0038032	termination of G-protein coupled receptor signaling pathway	IEA	

UniProt accession:Q8XFU4
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:P11437
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	

UniProt accession:Q59WG7
GO ID	Go Term	GO Evidence Code
GO:0006078	(1->6)-beta-D-glucan biosynthetic process	IMP	
GO:0009267	cellular response to starvation	IMP	
GO:0009272	fungal-type cell wall biogenesis	IGI	
GO:0009272	fungal-type cell wall biogenesis	ISS	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0044406	adhesion of symbiont to host	IMP	
GO:0071555	cell wall organization	IEA	

UniProt accession:P0CM54
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	

UniProt accession:P40086
GO ID	Go Term	GO Evidence Code
GO:0006784	heme a biosynthetic process	IEA	
GO:0006784	heme a biosynthetic process	IGI	
GO:0006784	heme a biosynthetic process	IMP	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:P78608
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	
GO:0071555	cell wall organization	IEA	

UniProt accession:G4NCR0
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	
GO:0006468	protein phosphorylation	IEA	
GO:0007165	signal transduction	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q0U6E8
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0019594	mannitol metabolic process	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q79LY0
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	
GO:0016311	dephosphorylation	IEA	
GO:0034053	modulation by symbiont of host defense-related programmed cell death	IEA	
GO:0035335	peptidyl-tyrosine dephosphorylation	IEA	

UniProt accession:I1RWM5
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:Q8Z4A2
GO ID	Go Term	GO Evidence Code
GO:0009306	protein secretion	IEA	

UniProt accession:Q59X38
GO ID	Go Term	GO Evidence Code
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	IEA	
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	IBA	
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	IEA	
GO:0006364	rRNA processing	IEA	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0042254	ribosome biogenesis	IEA	
GO:0042273	ribosomal large subunit biogenesis	IEA	
GO:1900435	negative regulation of filamentous growth of a population of unicellular organisms in response to starvation	IMP	

UniProt accession:Q5AP90
GO ID	Go Term	GO Evidence Code
GO:0006486	protein glycosylation	IEA	
GO:0035268	protein mannosylation	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0046354	mannan biosynthetic process	IMP	

UniProt accession:I1RU59
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:C1KJG7
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:Q4ZMD6
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	
GO:0034053	modulation by symbiont of host defense-related programmed cell death	IEA	

UniProt accession:Q56134
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	

UniProt accession:Q6PQH2
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:Q5AK12
GO ID	Go Term	GO Evidence Code
GO:0006874	cellular calcium ion homeostasis	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030448	hyphal growth	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0051592	response to calcium ion	IMP	

UniProt accession:I1RSK0
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:D7I6Y8
GO ID	Go Term	GO Evidence Code
GO:0006754	ATP biosynthetic process	IEA	
GO:0006810	transport	IEA	
GO:0006811	ion transport	IEA	
GO:0015986	ATP synthesis coupled proton transport	IEA	
GO:0015992	proton transport	IEA	
GO:0042777	plasma membrane ATP synthesis coupled proton transport	IEA	

UniProt accession:Q59TT3
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036171	filamentous growth of a population of unicellular organisms in response to chemical stimulus	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	

UniProt accession:Q9L8G8
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:Q59UR3
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IMP	
GO:0007155	cell adhesion	IGI	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0036244	cellular response to neutral pH	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:0044406	adhesion of symbiont to host	IGI	
GO:1900430	positive regulation of filamentous growth of a population of unicellular organisms	IMP	
GO:1900442	positive regulation of filamentous growth of a population of unicellular organisms in response to neutral pH	IMP	
GO:1900445	positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:1900461	positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter	IGI	
GO:2000220	regulation of pseudohyphal growth	IGI	

UniProt accession:Q5ABD7
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0016311	dephosphorylation	IEA	
GO:0016311	dephosphorylation	ISS	
GO:0030447	filamentous growth	IMP	
GO:0030448	hyphal growth	IMP	
GO:0031505	fungal-type cell wall organization	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0042981	regulation of apoptotic process	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:0071473	cellular response to cation stress	IMP	

UniProt accession:B6VCT7
GO ID	Go Term	GO Evidence Code
GO:0006914	autophagy	IEA	

UniProt accession:Q4G495
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	
GO:0071555	cell wall organization	IEA	

UniProt accession:Q9C1Q7
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	
GO:0007165	signal transduction	IEA	
GO:0016310	phosphorylation	IEA	
GO:0023014	signal transduction by phosphorylation	IEA	

UniProt accession:Q5A2T6
GO ID	Go Term	GO Evidence Code
GO:0015891	siderophore transport	ISS	
GO:0035690	cellular response to drug	IMP	
GO:0042928	ferrichrome transport	IGI	
GO:0042928	ferrichrome transport	IEP	
GO:0042928	ferrichrome transport	IMP	

UniProt accession:Q2V9X3
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0006357	regulation of transcription from RNA polymerase II promoter	IEA	
GO:0006366	transcription from RNA polymerase II promoter	IEA	

UniProt accession:Q96VL3
GO ID	Go Term	GO Evidence Code
GO:0007264	small GTPase mediated signal transduction	IEA	
GO:0015031	protein transport	IEA	

UniProt accession:I1RE92
GO ID	Go Term	GO Evidence Code
GO:0046836	glycolipid transport	IEA	

UniProt accession:Q0PND3
GO ID	Go Term	GO Evidence Code
GO:0006629	lipid metabolic process	IEA	
GO:0008152	metabolic process	IEA	

UniProt accession:Q5ACU3
GO ID	Go Term	GO Evidence Code
GO:0006486	protein glycosylation	IEA	
GO:0006493	protein O-linked glycosylation	IEA	
GO:0006493	protein O-linked glycosylation	IGI	
GO:0006493	protein O-linked glycosylation	IMP	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0031505	fungal-type cell wall organization	IMP	
GO:0031589	cell-substrate adhesion	IMP	
GO:0035269	protein O-linked mannosylation	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0044011	single-species biofilm formation on inanimate substrate	IMP	
GO:0044117	growth of symbiont in host	IMP	
GO:0045861	negative regulation of proteolysis	IMP	

UniProt accession:Q8Z6N6
GO ID	Go Term	GO Evidence Code
GO:0009306	protein secretion	IEA	

UniProt accession:I1RS33
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:X5IFG8
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0009058	biosynthetic process	IEA	

UniProt accession:G4NHF4
GO ID	Go Term	GO Evidence Code
GO:0005992	trehalose biosynthetic process	IEA	

UniProt accession:Q9P880
GO ID	Go Term	GO Evidence Code
GO:0006171	cAMP biosynthetic process	IEA	
GO:0007165	signal transduction	IEA	
GO:0009190	cyclic nucleotide biosynthetic process	IEA	
GO:0035556	intracellular signal transduction	IEA	

UniProt accession:P0CL09
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:B6VCT9
GO ID	Go Term	GO Evidence Code
GO:0000165	MAPK cascade	IEA	
GO:0000186	activation of MAPKK activity	IEA	
GO:0006468	protein phosphorylation	IEA	
GO:0007165	signal transduction	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q5ABP4
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0016311	dephosphorylation	IEA	
GO:0016311	dephosphorylation	ISS	
GO:0030447	filamentous growth	IMP	
GO:0030448	hyphal growth	IMP	
GO:0031505	fungal-type cell wall organization	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0042981	regulation of apoptotic process	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:0071473	cellular response to cation stress	IMP	

UniProt accession:E3QRA4
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:G4MWS3
GO ID	Go Term	GO Evidence Code
GO:0000272	polysaccharide catabolic process	IEA	
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	
GO:0045493	xylan catabolic process	IEA	

UniProt accession:D7I202
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0006811	ion transport	IEA	
GO:0006813	potassium ion transport	IEA	
GO:0034220	ion transmembrane transport	IEA	
GO:0055085	transmembrane transport	IEA	
GO:0071805	potassium ion transmembrane transport	IEA	

UniProt accession:D0ZWR8
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0009405	pathogenesis	IEA	
GO:0015031	protein transport	IEA	

UniProt accession:Q4VSJ8
GO ID	Go Term	GO Evidence Code
GO:0007165	signal transduction	IEA	
GO:0008152	metabolic process	IEA	
GO:0009372	quorum sensing	IEA	

UniProt accession:G4MKW8
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	

UniProt accession:A4QYF9
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	

UniProt accession:Q99324
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	

UniProt accession:G4NDX0
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:I0ISN4
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:J5JDI1
GO ID	Go Term	GO Evidence Code
GO:0006486	protein glycosylation	IEA	
GO:0097502	mannosylation	IEA	

UniProt accession:O93920
GO ID	Go Term	GO Evidence Code
GO:0006629	lipid metabolic process	IEA	
GO:0007165	signal transduction	IEA	
GO:0016042	lipid catabolic process	IEA	
GO:0035556	intracellular signal transduction	IEA	

UniProt accession:G4MZY1
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:P0CY28
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:Q69FA8
GO ID	Go Term	GO Evidence Code
GO:0035556	intracellular signal transduction	IEA	
GO:0038032	termination of G-protein coupled receptor signaling pathway	IEA	

UniProt accession:Q12634
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0042438	melanin biosynthetic process	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:I1S0G8
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:Q94795
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:P87199
GO ID	Go Term	GO Evidence Code
GO:0007018	microtubule-based movement	IEA	
GO:0008152	metabolic process	IEA	

UniProt accession:D7I145
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:Q6RKH8
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	

UniProt accession:I6Y8D3
GO ID	Go Term	GO Evidence Code
GO:0016310	phosphorylation	IEA	

UniProt accession:Q5AL36
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0009405	pathogenesis	IEA	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0044011	single-species biofilm formation on inanimate substrate	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:0045821	positive regulation of glycolytic process	IMP	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IDA	
GO:0045991	carbon catabolite activation of transcription	IMP	
GO:0071456	cellular response to hypoxia	IMP	
GO:1900233	positive regulation of single-species biofilm formation on inanimate substrate	IMP	
GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms	IMP	

UniProt accession:Q96VL1
GO ID	Go Term	GO Evidence Code
GO:0000165	MAPK cascade	IEA	
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q97PH9
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:Q5D6D3
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	

UniProt accession:O93800
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	

UniProt accession:I1RSW5
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q5AG40
GO ID	Go Term	GO Evidence Code
GO:0006623	protein targeting to vacuole	IMP	
GO:0007033	vacuole organization	IMP	
GO:0009306	protein secretion	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0030448	hyphal growth	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:0045324	late endosome to vacuole transport	IMP	
GO:0071285	cellular response to lithium ion	IMP	
GO:0031122	cytoplasmic microtubule organization	IBA	

UniProt accession:J9N2Z8
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	

UniProt accession:Q9Y8A2
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:P30573
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0071555	cell wall organization	IEA	

UniProt accession:G1UAJ9
GO ID	Go Term	GO Evidence Code
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	IGI	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036176	response to neutral pH	IMP	
GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:1900430	positive regulation of filamentous growth of a population of unicellular organisms	IMP	
GO:1900436	positive regulation of filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:1900442	positive regulation of filamentous growth of a population of unicellular organisms in response to neutral pH	IMP	
GO:1900445	positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:1900461	positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter	IGI	
GO:2000220	regulation of pseudohyphal growth	IGI	

UniProt accession:Q87UQ6
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q8NKE2
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q4PCH2
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:P43093
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:A3M771
GO ID	Go Term	GO Evidence Code
GO:0006801	superoxide metabolic process	IEA	
GO:0019430	removal of superoxide radicals	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q1L2E2
GO ID	Go Term	GO Evidence Code
GO:0006782	protoporphyrinogen IX biosynthetic process	IEA	
GO:0006783	heme biosynthetic process	IEA	
GO:0008152	metabolic process	IEA	
GO:0009058	biosynthetic process	IEA	
GO:0033014	tetrapyrrole biosynthetic process	IEA	

UniProt accession:W7M5P0
GO ID	Go Term	GO Evidence Code
GO:0007165	signal transduction	IEA	
GO:0050790	regulation of catalytic activity	IEA	

UniProt accession:A0SXQ6
GO ID	Go Term	GO Evidence Code
GO:0007264	small GTPase mediated signal transduction	IEA	

UniProt accession:Q01168
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0042128	nitrate assimilation	IEA	

UniProt accession:I1RIV2
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	

UniProt accession:G4N168
GO ID	Go Term	GO Evidence Code
GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	IEA	
