PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	Host_response	Experimental_evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:24	Uniprot	Q00903	AAB09777		Avenacinase gene			29850	Gaeumannomyces graminis	var. avenae isolate A3	Take-all	Monocot	4564	Wheat	Avenacinase				Unaffected pathogenicity		No	No	No									gene disruption		MU	7824933	PubMed		Expression not determined
PHI:24	Uniprot	Q00903	AAB09777		Avenacinase gene			29850	Gaeumannomyces graminis	var. avenae isolate A3	Take-all	Monocot	4498	Oat	Avenacinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		No	Yes	Yes									gene disruption		MU	7824933	PubMed		Expression not determined
PHI:25	Uniprot	Q258K5	CAJ29326	v23.1.3	AVRLM1			5022	Leptosphaeria maculans	v23.1.3	Phoma stem canker	Dicot	3708	Oil seed rape	Effector protein				Effector (plant avirulence determinant)													gene disruption	BH	TKB; AC	16556221	PubMed	10.1111/j.1365-2958.2006.05076.x	
PHI:26	Uniprot	P28873	CAA37820	B792	CaMDR1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Fungal efflux pump	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	7591094	PubMed		
PHI:27	Uniprot	Q00368	AAA77678		CAP20			5457	Glomerella cingulata (related: Colletotrichum gloeosporioides)	Not defined	Anthracnose	Dicot	4081	Tomato	Appressorial wall	GO:0009405, IMP; GO:0044409	GO		Loss of pathogenicity 		No	Yes	No					avocado surface wax				gene disruption		TKB; JK	7756829	PubMed		Expression during host surface growth, invasion
PHI:27	Uniprot	Q00368	AAA77678		CAP20			5457	Glomerella cingulata (related: Colletotrichum gloeosporioides)	Not defined	Anthracnose	Dicot	3435	Avocado	Appressorial wall	GO:0009405, IMP; GO:0044409	GO		Loss of pathogenicity 		No	Yes	No					avocado surface wax				gene disruption		TKB; JK	7756829	PubMed		Tested on avocado fruits. Expression during host surface growth, invasion
PHI:31	Uniprot	P30573	BAA02707	IFO1060	CHS3			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Chitin Synthase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	7479842	PubMed		
PHI:33	Uniprot	P43076	AAA68196	SC5314	PHR1			5476	Candida albicans	CAF3-1	Candidiasis		10090	Mouse	Membrane protein; pH responsive protein	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	7591097; 7823929	PubMed		
PHI:35	Uniprot	O13337	AAB69694	Guy11	CON7			318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Transcription factor	GO:0009405, IMP	GO		Reduced virulence													other evidence		MU		Not in PubMed		Sequence of rescued plasmid insertion
PHI:36	Uniprot	Q01143	AAA93199		CPKA			318829	Magnaporthe oryzae	70-15	Rice blast	Monocot	4530	Rice	PKA catalytic subunit	GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP	GO	cAMP signalling	Loss of pathogenicity 		Yes	Yes 	Yes	Wild type	Wild type	Wild type	Wild type					gene deletion		MU	8535140; 11006342 	PubMed	10.1105/tpc.7.11.1869	mutations in CPKA, are specific for pathogenicity, with deletion mutants of cpkA showing impaired appressorial penetration but efficient sporulation and mating
PHI:37	Uniprot	Q99129	AAC37439	518	MYP1			5270	Ustilago maydis	518, 521	Corn smut	Monocot	4577	Maize	Mycelial Development	GO:0009405, IMP	GO		Reduced virulence	No	No Data	No Data	No Data									gene deletion		TKB	8647387	PubMed		
PHI:38	Uniprot	Q02039	AAA86496	US238.1	NIP1			38038	Rhynchosporium secalis		Scald/leaf blotch	Monocot	112509	Barley	Effector protein				Effector (plant avirulence determinant)													other evidence		MU	7556057; 10497070; 12944393; 15497404	PubMed	10.1074/jbc.M308304200	
PHI:39	Uniprot	Q6Q475	AAS60096		GP42 (PEP13)			67593	Phytophthora sojae		Root rot	Dicot	4043	Parsley	transglutaminase	GO:0003810, IDA	GO		Unaffected pathogenicity													other evidence	SK	MU; SH	7892267; 12485989; 12485989	PubMed		previously known as Phytophthora megasperma f. sp. glycinea
PHI:40	Uniprot	P79068	BAA18956	104-T	PKS1			5462	Colletotrichum lagenarium	104-T	Anthracnose	Dicot	3659	Cucumber	Polyketide synthase	GO:0009405, IMP; GO:0044409, IMP; GO:0042438	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	No									complementation		MU	7500937; 10501004	PubMed		Gene complementation in A.oryzae
PHI:41	Uniprot	Q01145	AAA80239		PWL1			318829	Magnaporthe oryzae		Rice blast	Monocot	4530	Rice	Effector protein				Effector (plant avirulence determinant)													complementation		TKB; MU	8664503	PubMed		
PHI:42	Uniprot	Q01144	AAA91019	4392-1-6	PWL2			318829	Magnaporthe oryzae	4392-1-6	Rice blast	Monocot	4530	Rice	Effector protein				Effector (plant avirulence determinant)													complementation		MU	7549480	PubMed	10.1105/tpc.7.8.1221	Transfer into other strains by crossing
PHI:44	Uniprot	Q8NJV0	AAM90953	A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4498	Oat	Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		Porter cultivar
PHI:44	Uniprot	Q8NJV0	AAM90953	A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		Caldwell cultivar
PHI:44	Uniprot	Q8NJV0	AAM90953	A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		Marshall cultivar
PHI:44	Uniprot	Q8NJV0	AAM90953	A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4550	Rye	Trichodiene synthase	GO:0009405, IMP; GO:0044412; GO:0045482	GO		Reduced virulence		No	No	Yes									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		
PHI:44	Uniprot	Q8NJV0	AAM90953	A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4577	Maize	Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		
PHI:44	Uniprot	Q8NJV0	AAM90953	A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	Trichodiene synthase	GO:0009405, IMP; GO:0044412; GO:0045482	GO		Reduced virulence		No	No	Yes									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		Wheaton cultivar
PHI:44	Uniprot	Q8NJV0	AAM90953	A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Dicot	3702	Arabidopsis thaliana	Trichodiene synthase		GO		Unaffected pathogenicity													gene deletion; biochemical analysis		AB; AC		PubMed	10.1111/j.1469-8137.2007.02333.x	
PHI:47	Uniprot	Q00819	AAB06581		CAP64			5207	Cryptococcus neoformans	B4131	Cryptococcosis		10090	Mouse	Capsule formation	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; gene deletion; complementation		TKB; KHK	8675296	PubMed		
PHI:48	Uniprot	Q59J76	BAD91825   	T49	CnLAC1			5207	Cryptococcus neoformans	B-4476 and E2	Cryptococcosis		10090	Mouse	Laccase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB; KHK	8760791; 14977977	PubMed		gene disruption, with  complementation and  gene disruption, no complementation
PHI:48	Uniprot	Q59J76	BAD91825   	T49	CnLAC1			5207	Cryptococcus neoformans	ATCC 208819 (Serotype D)	Cryptococcosis		6239	Nematode	Laccase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB; KHK	12438649	PubMed	10.1073/pnas.232568599	gene disruption, with  complementation and  gene disruption, no complementation
PHI:48	Uniprot	Q59J76	BAD91825   	T49	CnLAC1			5207	Cryptococcus neoformans	H99	Cryptococcosis		7137	Galleria mellonella		GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation	AI	SH; KHK	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005	Tested in G.mellonella caterpillars in the final instar larval stage
PHI:49	Uniprot	Q00580	AAA67706	EP155	CPG1			5116	Cryphonectria parasitica	EP155	Chesnut blight	Dicot	134033	American Chestnut tree	G alpha protein subunit	GO:0009405, IMP	GO		Reduced virulence		No Data	No Data 	No Data									gene disruption		TKB	11038529	PubMed		
PHI:52	Uniprot	Q01168	AAB03415	GUY11	NUT1			318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	GATA transcription factor for nitrogen metabolism				Unaffected pathogenicity													gene disruption; complementation		MU	8757395	PubMed		partial gene disruption with complementation in A. nidulans
PHI:52	Uniprot	Q01168	AAB03415	GUY11	NUT1			318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	112509	Barley	Global regulation of nitrogen utilisation	GO:0009405, IMP; 	GO		Reduced virulence													gene disruption	AS	AB; MU	11277427	PubMed		Fully pathogenic to leaves but no clear lesions on roots
PHI:53	Uniprot	Q6LD98	AAP19639		PDA1	conditionally dispensable (CD) chromosome		140110	Nectria haematococca (related: Fusarium solani)	77-13-7	Root rot	Dicot	3888	Pea	Pisatin demethylase	GO:0009405, IMP	GO		Reduced virulence													other evidence		MU; KHK	12925899	PubMed	10.1007/s00294-003-0428-x	Expression during early infection stage (pisatin), different GC content, on a dispensable chromosome 
PHI:55	Uniprot	Q92217	AAB08104	C4	PKS1			5016	Cochliobolus heterostrophus	C4	Leaf blight	Monocot	4577	Maize	Polyketide synthase	GO:0009405, IMP; GO:0044412	GO	T-toxin production	Reduced virulence		No	No	Yes									gene disruption		MU	8953776	PubMed	10.1105/tpc.8.11.2139	
PHI:56	Uniprot	Q92246	AAC49521	Guy11	PMK1			318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	MAP kinase	GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP; GO:0004707, IMP	GO		Loss of pathogenicity 		Yes	Yes	Yes	Wild type	Sterile							gene deletion; complementation		MU	8946911; 11006342	PubMed		FUS3/KSS1 homologue; gene deletion, with complementation in S. cerevisiae
PHI:57	Uniprot	Q99101	AAC32736	FBD11	PRF1			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	Transcription factor	GO:0009405, IMP	GO		Loss of pathogenicity 	Yes	See publication	See publication	See publication									gene disruption		MU	8612587; 10402430 	PubMed		
PHI:58	Uniprot	Q00455	BAA13009	104-T	SCD1			5462	Colletotrichum lagenarium	9201Y	Anthracnose	Dicot	3659	Cucumber	Scytalone dehydratase 	GO:0009405, IMP; GO:0044409, IMP, GO:0030411, NAS	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	No Data									gene deletion; complementation		MU; KHK	8953707	PubMed		melanin mutant complemented with wild-type gene sequence
PHI:59	Uniprot	P87025	BAA18962	104-T	THR1			5462	Colletotrichum lagenarium	104-T	Anthracnose	Dicot	3659	Cucumber	Reductase	GO:0009405, IMP; GO:0044409	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	See publication									gene disruption		MU; KHK	8672814	PubMed		
PHI:60	Uniprot	Q00357	AAB36607	SB111a	TOXA			5017	Cochliobolus carbonum		Leaf spot	Monocot	4577	Maize	Toxin Pump			toxin secretion	Lethal													gene disruption		MU; JA	8704997	PubMed		
PHI:61	Uniprot	P43070	AAA21151	ATCC 10261	BGL2			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Cell wall 1,3-beta-glucosyltransferase (bgl2p)	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9043114	PubMed		
PHI:62	Uniprot	P52498	AAB81286	B792	caRSR1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Cell morphogenesis	GO:0009405, IMP	GO		Reduced virulence							Reduced	reduced					gene disruption; complementation		TKB	9308185	PubMed		
PHI:65	Uniprot	O14435	AAC49838	EP155	CPGB-1			5116	Cryphonectria parasitica	EP155	Chesnut blight	Dicot	134033	American Chestnut tree	G beta protein subunit	GO:0009405, IMP	GO		Reduced virulence		No Data	No Data	No Data	Reduced								gene disruption		TKB	9353946	PubMed		
PHI:66	Uniprot	P43078	AAC05307		CPP1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Tyrosine phosphatase	GO:0009405, IMP	GO	VH1 dual specificity protein phosphatase	Reduced virulence							Reduced						gene disruption; complementation		TKB	9398674; 9890266 	PubMed		
PHI:67	Uniprot	P43068	CAA54129	1001 (ATCC 64385)	MKC1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	MAP kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9009353; 9493378; 16179009	PubMed	10.1111/j.1365-3083.2005.01657.x	SLT2 homologue
PHI:68	Uniprot	P0CY26	AAA34368	SS	SAP1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
PHI:68	Uniprot	P0CY26	AAA34368	SS	SAP1			5476	Candida albicans	CAI-4	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
PHI:69	Uniprot	Q00298	CAA93255	SAS56	CUTA		PHI:541	40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	3885	Bean	Cutinase				Unaffected pathogenicity													gene disruption	JVK	SH		Not in PubMed		Phaseolus vulgaris cv. Hiltrud
PHI:69	Uniprot	Q00298	CAA93255	SAS56	CUTA		PHI:541	40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	3570	Carnation	Cutinase				Unaffected pathogenicity													gene disruption	JVK	SH		Not in PubMed		
PHI:69	Uniprot	Q00298	CAA93255	SAS56	CUTA			40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	13546	Gerbera	Cutinase				Unaffected pathogenicity	NA	No	No	No									gene disruption		TKB; KHK	9002270	PubMed		Tested on gerbera flowers
PHI:69	Uniprot	Q00298	CAA93255	SAS56	CUTA			40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	4081	Tomato	Cutinase				Unaffected pathogenicity	NA	No	No	No									gene disruption		TKB; KHK	9002270	PubMed		Tested on tomato fruits.
PHI:69	Uniprot	Q00298	CAA93255	SAS56	CUTA		PHI:541	40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	13546	Gerbera	Cutinase				Unaffected pathogenicity													gene disruption	JVK	SH		Not in PubMed		
PHI:69	Uniprot	Q00298	CAA93255	SAS56	CUTA		PHI:541	40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	4081	Tomato	Cutinase				Unaffected pathogenicity													gene disruption	JVK	SH		Not in PubMed		Tomato cv. Paradiser
PHI:70	Uniprot	Q00364	CAA78400	race 5	ECP1			5499	Cladosporium fulvum	race 5	Leaf mold	Dicot	4081	Tomato	Extracellular Protein 	GO:0009405, IMP	GO		Reduced virulence						Reduced							gene deletion		TKB; KHK	0894-0282	WoS		
PHI:71	Uniprot	Q00365	CAA78401	race 5	ECP2			5499	Cladosporium fulvum	race 5	Leaf mold	Dicot	4081	Tomato	Effector protein	GO:0009405, IMP	GO		Reduced virulence					Reduced	Reduced							gene deletion		TKB; KHK	0894-0282	Not in PubMed		
PHI:71	Uniprot	Q00365	CAA78401	race 5	ECP2			5499	Cladosporium fulvum	race 5	Leaf mold	Dicot	4081	Tomato	Effector protein				Effector (plant avirulence determinant)													gene deletion		TKB; KHK	9756710; 9671796	PubMed	10.1006/fgbi.1998.1076	Virulent on tomato plants possessing the Cf-ECP2 resistance gene
PHI:72	Uniprot	P0DJ06	AAM21050	CAI4	SAP2			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10320576; 10569785; 10540295; 16227594	PubMed		
PHI:72	Uniprot	P0DJ06	AAM21050	CAI4	SAP2			5476	Candida albicans	CAI-4	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10320576; 10569785; 10540295; 16227594	PubMed		
PHI:73	Uniprot	P0CY28	AAA34372	SS	SAP3			5476	Candida albicans	CAI-4	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
PHI:73	Uniprot	P0CY28	AAA34372	SS	SAP3			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
PHI:75	Uniprot	P0CN96	AAD46575	JEC21	GPA1			5207	Cryptococcus neoformans	H99	Cryptococcosis		7137	Galleria mellonella		GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation	AI	KHK; MU	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005	Tested in G.mellonella caterpillars in the final instar larval stage
PHI:75	Uniprot	P0CN96	AAD46575	JEC21	GPA1			5207	Cryptococcus neoformans	H99	Cryptococcosis		9986	Rabbit	G alpha protein subunit	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		KHK; MU	9389652	PubMed		
PHI:75	Uniprot	P0CN96	AAD46575	JEC21	GPA1			5207	Cryptococcus neoformans	H99	Cryptococcosis		6239	Nematode	G alpha protein subunit	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		KHK; MU	12438649	PubMed	10.1073/pnas.232568599	Tested in C.elegans strain N2 Bristol
PHI:76	Uniprot	P87032	AAC49724	FB1	GPA1			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	G alpha protein subunit				Unaffected pathogenicity													gene disruption		MU	9155019	PubMed		
PHI:77	Uniprot	P87033	AAC49725	FB1	GPA2			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	G alpha protein subunit				Unaffected pathogenicity													gene disruption		MU	9155019	PubMed		
PHI:78	Uniprot	P87034	AAC49726	FB1	GPA3			5270	Ustilago maydis	FB1, FB2, CL13, SG200	Corn smut	Monocot	4577	Maize	G alpha protein subunit	GO:0009405, IMP	GO		Loss of pathogenicity 	Yes	No Data	No Data	No Data									gene disruption		MU	9155019; 11043465	PubMed		
PHI:79	Uniprot	P87035	AAC49727	FB1	GPA4			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	G alpha protein subunit				Unaffected pathogenicity													gene disruption		MU	9155019	PubMed		
PHI:80	Uniprot	Q00313	AAB39507		TOP1 			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Topoisomerase I	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9043115	PubMed		
PHI:81	Uniprot	O13328	AAB66482	70-15	MAC1			318829	Magnaporthe oryzae		Rice blast	Monocot	4530	Rice	Adenylate cyclase	GO:0009405, IMP	GO	cAMP signalling	Reduced virulence													gene deletion		MU	9401122; 11006342 	PubMed	10.1105/tpc.9.11.1973	Pleiotropic effects of mutant allele; Partial gene deletion
PHI:82	Uniprot	O13314	AAB65425	70-15	MAGA			318829	Magnaporthe oryzae		Rice blast	Monocot	4530	Rice	G alpha protein subunit	GO:0016526, NAS	GO		Unaffected pathogenicity		No	No	No	Wild type	No mature asci	Wild type						gene deletion		MU	9390422	PubMed		Partial gene deletion
PHI:83	Uniprot	O13315	AAB65426	70-15	MAGB			318829	Magnaporthe oryzae		Rice blast	Monocot	4530	Rice	G alpha protein subunit	GO:0009405, IMP; GO:0044409, IMP; GO:0030437, IMP; GO:0016526, NAS	GO	cAMP signalling	Reduced virulence		Yes	 Yes	No Data	Reduced	No perithecia formation	Reduced						gene disruption; complementation		MU	9390422	PubMed		
PHI:84	Uniprot	O13316	AAB65427	70-15	MAGC			318829	Magnaporthe oryzae		Rice blast	Monocot	4530	Rice	G alpha protein subunit	GO:0016526, NAS; GO:0030437, IMP	GO		Unaffected pathogenicity													gene deletion		MU	14667055	PubMed		Partial gene deletion
PHI:85	Uniprot	O14427	AAB68613		CLA4			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Protein Kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		MU	9259554; 10816502 	PubMed		
PHI:86	Uniprot	P43079	AAA64692		CPH1		PHI:87	5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Regulatory protein	GO:0009405, IGI; GO:0044412	GO		Loss of pathogenicity 				Yes									gene disruption; complementation		TKB	9298905; 10377153; 10816502; 11595734; 11796627 	PubMed		
PHI:87	Uniprot	P43064	CAA83640	ATCC10231	EFG1		PHI:86	5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Transcription factor	GO:0009405, IGI	GO		Loss of pathogenicity 													gene disruption; complementation		TKB	9298905; 10377153; 10816502; 11595734; 11796627; 12798685	PubMed		
PHI:87	Uniprot	P43064	CAA83640	ATCC10231	EFG1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Transcription factor	GO:0009405, IMP	GO	Ras-protein kinase A	Reduced virulence													gene disruption; complementation		TKB	15760450; 10816502; 11595734; 12798685	PubMed	10.1111/j.1462-5822.2004.00476.x	
PHI:88	Uniprot	P41749	AAA85279	70	PECA			5059	Aspergillus flavus	12		Dicot	3635	Cotton	Polygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No Data	No Data	Yes									gene deletion; complementation		TKB; KHK	9293005	PubMed		
PHI:89	Uniprot	O42773	AAB97372	H99	CNA1			5207	Cryptococcus neoformans	M049	Cryptococcosis		9986	Rabbit	Calcineurin A catalytic subunit/ Serine/threonine phosphatase 2B	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; complementation		MU; KHK	9184205	PubMed	10.1093/emboj/16.10.2576	
PHI:95	Uniprot	P53707	AAB66368	ATCC 26555	CSP37			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Membrane protein	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9244249	PubMed		
PHI:96	Uniprot	P43098	AAA34345	4918	FAS2			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Fatty acid synthetase	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; complementation		TKB	9009352	PubMed		
PHI:96	Uniprot	P43098	AAA34345	4918	FAS2			5476	Candida albicans		Candidiasis		10114	Rat	Fatty acid synthetase	GO:0009405, IMP	GO		Loss of pathogenicity 															TKB	8828218	PubMed		Oropharyngeal candidiasis
