Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element	Known interacting protein(s) in the pathogen	Interacting protein - locus ID	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
Record 22	PHI:38	Uniprot	Q02039	EMBL	AAA86496	US238.1	NIP1						no	38038	Rhynchosporium secalis	no data found	no data found	Scald/leaf blotch	Monocots	112509	Hordeum vulgare subsp. vulgare (related: Domesticated barley)					Effector protein				effector (plant avirulence determinant)	no data found	no data found	no data found	no data found												other evidence			MU	7556057; 10497070; 12944393; 15497404	PubMed	10.1074/jbc.M308304200	
Record 23	PHI:39	Uniprot	Q6Q475	EMBL	AAS60096		GP42 (PEP13)						no	67593	Phytophthora sojae	no data found	no data found	Root rot	Eudicots	4043	Petroselinum crispum (related: Parsley)		no data found	no data found		transglutaminase	GO:0003810, IDA	GO		unaffected pathogenicity	no data found	no data found	no data found	no data found												other evidence		SK	MU; SH	7892267; 12485989	PubMed		previously known as Phytophthora megasperma f. sp. glycinea
Record 24	PHI:40	Uniprot	P79068	EMBL	BAA18956	104-T	PKS1						no	5462	Colletotrichum lagenarium	5462	104-T	Anthracnose	Eudicots	3659	Cucumis sativus (related: Cucumber)					Polyketide synthase	GO:0009405, IMP; GO:0044409, IMP; GO:0042438	GO	Melanin biosynthesis	reduced virulence	no data found	Yes	Yes	no												complementation			MU	7500937; 10501004	PubMed		Gene complementation in A.oryzae
Record 25	PHI:41	Uniprot	Q01145	EMBL	AAA80239		PWL1						no	318829	Magnaporthe oryzae	no data found	no data found	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Effector protein				effector (plant avirulence determinant)	no data found	no data found	no data found	no data found												complementation			TKB; MU	8664503	PubMed		
Record 26	PHI:42	Uniprot	Q01144	EMBL	AAA91019	4392-1-6	PWL2						no	318829	Magnaporthe oryzae		4392-1-6	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Effector protein				effector (plant avirulence determinant)	no data found	no data found	no data found	no data found												complementation			MU	7549480	PubMed	10.1105/tpc.7.8.1221	Transfer into other strains by crossing
Record 27	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953	A18	TRI5						no	5518	Fusarium graminearum (related: Gibberella zeae)	449239	GZ3639	Fusarium ear blight	Monocots	4498	Avena sativa (related: Oat)					Trichodiene synthase	GO:0045482	GO		unaffected pathogenicity	no data found	no	no	no												gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed		Porter cultivar
Record 28	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953	A18	TRI5						no	5518	Fusarium graminearum (related: Gibberella zeae)	449239	GZ3639	Fusarium ear blight	Monocots	4564	Triticum (related: Wheat)					Trichodiene synthase	GO:0045482	GO		unaffected pathogenicity	no data found	no	no	no												gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed		Caldwell cultivar
Record 29	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953	A18	TRI5						no	5518	Fusarium graminearum (related: Gibberella zeae)	449239	GZ3639	Fusarium ear blight	Monocots	4564	Triticum (related: Wheat)					Trichodiene synthase	GO:0045482	GO		unaffected pathogenicity	no data found	no	no	no												gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed		Marshall cultivar
Record 30	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953	A18	TRI5						no	5518	Fusarium graminearum (related: Gibberella zeae)	449239	GZ3639	Fusarium ear blight	Monocots	4550	Secale cereale (related: Rye)					Trichodiene synthase	GO:0009405, IMP; GO:0044412; GO:0045482	GO		reduced virulence	no data found	no	no	Yes												gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed		
Record 31	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953	A18	TRI5						no	5518	Fusarium graminearum (related: Gibberella zeae)	449239	GZ3639	Fusarium ear blight	Monocots	4577	Zea mays (related: Maize)					Trichodiene synthase	GO:0045482	GO		unaffected pathogenicity	no data found	no	no	no												gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed		
Record 32	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953	A18	TRI5						no	5518	Fusarium graminearum (related: Gibberella zeae)	449239	GZ3639	Fusarium ear blight	Monocots	4564	Triticum (related: Wheat)					Trichodiene synthase	GO:0009405, IMP; GO:0044412; GO:0045482	GO		reduced virulence	no data found	no	no	Yes												gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed		Wheaton cultivar
Record 33	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953	A18	TRI5						no	5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Eudicots	3702	Arabidopsis thaliana (related: Thale cress)					Trichodiene synthase		GO		unaffected pathogenicity	no data found	no data found	no data found	no data found												gene deletion; biochemical analysis			AB; AC	18179606	PubMed	10.1111/j.1469-8137.2007.02333.x	
Record 34	PHI:47	Uniprot	Q00819	EMBL	AAB06581		CAP64						no	5207	Cryptococcus neoformans		B4131	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Capsule formation	GO:0009405, IMP	GO		loss of pathogenicity	no data found	no data found	no data found	no data found												gene disruption; gene deletion; gene complementation			TKB; KHK	8675296	PubMed		
Record 35	PHI:48	Uniprot	Q59J76	EMBL	BAD91825   	T49	CnLAC1						no	5207	Cryptococcus neoformans		B-4476 and E2	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Laccase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption; gene complementation			TKB; KHK	8760791; 14977977	PubMed		gene disruption, with  complementation and  gene disruption, no complementation
Record 36	PHI:48	Uniprot	Q59J76	EMBL	BAD91825   	T49	CnLAC1						no	5207	Cryptococcus neoformans		ATCC 208819 (Serotype D)	Cryptococcosis	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)					Laccase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption; gene complementation			TKB; KHK	12438649	PubMed	10.1073/pnas.232568599	gene disruption, with  complementation and  gene disruption, no complementation
Record 37	PHI:48	Uniprot	Q59J76	EMBL	BAD91825   	T49	CnLAC1						no	5207	Cryptococcus neoformans	235443	H99	Cryptococcosis	Moths	7137	Galleria mellonella (related: Greater wax moth)					Laccase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption; gene complementation		AI	SH; KHK	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005	Tested in G.mellonella caterpillars in the final instar larval stage
Record 38	PHI:49	Uniprot	Q00580	EMBL	AAA67706	EP155	CPG1						no	5116	Cryphonectria parasitica	660469	EP155	Chesnut blight	Eudicots	134033	Castanea dentata (related: American chestnut)					G alpha protein subunit	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	11038529	PubMed		
Record 39	PHI:52	Uniprot	Q01168	EMBL	AAB03415	GUY11	NUT1						no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					GATA transcription factor for nitrogen metabolism				unaffected pathogenicity	no data found	no data found	no data found	no data found												gene disruption; gene complementation			MU	8757395	PubMed		partial gene disruption with complementation in A. nidulans
Record 40	PHI:52	Uniprot	Q01168	EMBL	AAB03415	GUY11	NUT1						no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	112509	Hordeum vulgare subsp. vulgare (related: Domesticated barley)					Global regulation of nitrogen utilisation	GO:0009405, IMP; 	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption		AS	AB; MU	11277427	PubMed		Fully pathogenic to leaves but no clear lesions on roots
Record 41	PHI:53	Uniprot	Q6LD98	EMBL	AAP19639		PDA1	conditionally dispensable (CD) chromosome					no	140110	Nectria haematococca		77-13-7	Root rot	Eudicots	3888	Pisum sativum (related: Pea)					Pisatin demethylase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												other evidence			MU; KHK	12925899	PubMed	10.1007/s00294-003-0428-x	Expression during early infection stage (pisatin), different GC content, on a dispensable chromosome 
Record 42	PHI:55	Uniprot	Q92217	EMBL	AAB08104	C4	PKS1						no	5016	Cochliobolus heterostrophus	5016	C4	Leaf blight	Monocots	4577	Zea mays (related: Maize)					Polyketide synthase	GO:0009405, IMP; GO:0044412	GO	T-toxin production	reduced virulence	no data found	no	no	Yes												gene disruption			MU	8953776	PubMed	10.1105/tpc.8.11.2139	
Record 43	PHI:56	Uniprot	Q92246	EMBL	AAC49521	Guy11	PMK1						no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					MAP kinase	GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP; GO:0004707, IMP	GO		loss of pathogenicity	no data found	Yes	Yes	Yes		Wild type	Sterile									gene deletion; gene complementation			MU	8946911; 11006342	PubMed		FUS3/KSS1 homologue; gene deletion, with complementation in S. cerevisiae
Record 44	PHI:57	Uniprot	Q99101	EMBL	AAC32736	FBD11	PRF1						no	5270	Ustilago maydis	559306	FB1, FB2	Corn smut	Monocots	4577	Zea mays (related: Maize)					Transcription factor	GO:0009405, IMP	GO		loss of pathogenicity	Yes	See publication	See publication	See publication												gene disruption			MU	8612587; 10402430 	PubMed		
Record 45	PHI:58	Uniprot	Q00455	EMBL	BAA13009	104-T	SCD1						no	5462	Colletotrichum lagenarium	5462	9201Y	Anthracnose	Eudicots	3659	Cucumis sativus (related: Cucumber)					Scytalone dehydratase 	GO:0009405, IMP; GO:0044409, IMP, GO:0030411, NAS	GO	Melanin biosynthesis	reduced virulence	no data found	Yes	Yes	no data found												gene deletion; gene complementation			MU; KHK	8953707	PubMed		melanin mutant complemented with wild-type gene sequence
Record 46	PHI:59	Uniprot	P87025	EMBL	BAA18962	104-T	THR1						no	5462	Colletotrichum lagenarium	5462	104-T	Anthracnose	Eudicots	3659	Cucumis sativus (related: Cucumber)					Reductase	GO:0009405, IMP; GO:0044409	GO	Melanin biosynthesis	reduced virulence	no data found	Yes	Yes	See publication												gene disruption			MU; KHK	8672814	PubMed		
Record 47	PHI:60	Uniprot	Q00357	EMBL	AAB36607	SB111a	TOXA						no	5017	Cochliobolus carbonum	no data found	no data found	Leaf spot	Monocots	4577	Zea mays (related: Maize)					Toxin Pump			toxin secretion	lethal	no data found	no data found	no data found	no data found												gene disruption			MU; JA	8704997	PubMed		
Record 48	PHI:61	Uniprot	P43070	EMBL	AAA21151	ATCC 10261	BGL2						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Cell wall 1,3-beta-glucosyltransferase (bgl2p)	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption; gene complementation			TKB	9043114	PubMed		
Record 49	PHI:62	Uniprot	P52498	EMBL	AAB81286	B792	caRSR1						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Cell morphogenesis	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found				Reduced	reduced							gene disruption; gene complementation			TKB	9308185	PubMed		
Record 50	PHI:65	Uniprot	O14435	EMBL	AAC49838	EP155	CPGB-1						no	5116	Cryphonectria parasitica	660469	EP155	Chesnut blight	Eudicots	134033	Castanea dentata (related: American chestnut)					G beta protein subunit	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found		Reduced										gene disruption			TKB	9353946	PubMed		
Record 51	PHI:66	Uniprot	P43078	EMBL	AAC05307		CPP1						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Tyrosine phosphatase	GO:0009405, IMP	GO	VH1 dual specificity protein phosphatase	reduced virulence	no data found	no data found	no data found	no data found				Reduced								gene disruption; gene complementation			TKB	9398674; 9890266 	PubMed		
Record 52	PHI:67	Uniprot	P43068	EMBL	CAA54129	1001 (ATCC 64385)	MKC1						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					MAP kinase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption; gene complementation			TKB	9009353; 9493378; 16179009	PubMed	10.1111/j.1365-3083.2005.01657.x	SLT2 homologue
Record 53	PHI:68	Uniprot	P0CY26	EMBL	AAA34368	SS	SAP1						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Aspartyl proteinase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
Record 54	PHI:68	Uniprot	P0CY26	EMBL	AAA34368	SS	SAP1						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10141	Cavia porcellus (related: Guinea pig)					Aspartyl proteinase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
Record 55	PHI:69	Uniprot	Q00298	EMBL	CAA93255	SAS56	CUTA						PHI:541	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	3885	Phaseolus vulgaris (related: String bean)					Cutinase				unaffected pathogenicity	no data found	no data found	no data found	no data found												gene disruption		JVK	SH		Not in PubMed		Phaseolus vulgaris cv. Hiltrud
Record 56	PHI:69	Uniprot	Q00298	EMBL	CAA93255	SAS56	CUTA						PHI:541	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	3570	Dianthus caryophyllus (related: Clove pink)					Cutinase				unaffected pathogenicity	no data found	no data found	no data found	no data found												gene disruption		JVK	SH		Not in PubMed		
Record 57	PHI:69	Uniprot	Q00298	EMBL	CAA93255	SAS56	CUTA						no	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	13546	Gerbera (no common name found)					Cutinase				unaffected pathogenicity	no data found	no	no	no												gene disruption			TKB; KHK	9002270	PubMed		Tested on gerbera flowers
Record 58	PHI:69	Uniprot	Q00298	EMBL	CAA93255	SAS56	CUTA						no	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Cutinase				unaffected pathogenicity	no data found	no	no	no												gene disruption			TKB; KHK	9002270	PubMed		Tested on tomato fruits.
Record 59	PHI:69	Uniprot	Q00298	EMBL	CAA93255	SAS56	CUTA						PHI:541	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	13546	Gerbera (no common name found)					Cutinase				unaffected pathogenicity	no data found	no data found	no data found	no data found												gene disruption		JVK	SH		Not in PubMed		
Record 60	PHI:69	Uniprot	Q00298	EMBL	CAA93255	SAS56	CUTA						PHI:541	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Cutinase				unaffected pathogenicity	no data found	no data found	no data found	no data found												gene disruption		JVK	SH		Not in PubMed		Tomato cv. Paradiser
Record 61	PHI:70	Uniprot	Q00364	EMBL	CAA78400	race 5	ECP1						no	5499	Cladosporium fulvum	5499	race 5	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Extracellular Protein 	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found			Reduced									gene deletion			TKB; KHK	0894-0282	WoS		
Record 62	PHI:71	Uniprot	Q00365	EMBL	CAA78401	race 5	ECP2						no	5499	Cladosporium fulvum	5499	race 5	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found		Reduced	Reduced									gene deletion			TKB; KHK	0894-0282	Not in PubMed		
Record 63	PHI:71	Uniprot	Q00365	EMBL	CAA78401	race 5	ECP2						no	5499	Cladosporium fulvum	5499	race 5	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein				effector (plant avirulence determinant)	no data found	no data found	no data found	no data found												gene deletion			TKB; KHK	9756710; 9671796	PubMed	10.1006/fgbi.1998.1076	Virulent on tomato plants possessing the Cf-ECP2 resistance gene
Record 64	PHI:72	Uniprot	P0DJ06	EMBL	AAM21050	CAI4	SAP2						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Aspartyl proteinase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10320576; 10569785; 10540295; 16227594	PubMed		
Record 65	PHI:72	Uniprot	P0DJ06	EMBL	AAM21050	CAI4	SAP2						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10141	Cavia porcellus (related: Guinea pig)					Aspartyl proteinase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10320576; 10569785; 10540295; 16227594	PubMed		
Record 66	PHI:73	Uniprot	P0CY28	EMBL	AAA34372	SS	SAP3						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10141	Cavia porcellus (related: Guinea pig)					Aspartyl proteinase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
Record 67	PHI:73	Uniprot	P0CY28	EMBL	AAA34372	SS	SAP3						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Aspartyl proteinase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
