Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
Record 2290	PHI:2065	Uniprot	Q4R1B9	Broad	MGG_00692.6	70-15	MSTU1	no data found					na	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	LTH			leaves	Mobilization of lipids and glycogen	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	reduced	no data found	reduced	wild type	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19337737	Pubmed	doi: 10.1271/bbb.90146	no comments
Record 2291	PHI:2065	Uniprot	Q4R1B9	Broad	MGG_00692.6	70-15	MSTU1	no data found					na	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	no data found			leaves	Mobilization of lipids and glycogen	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19337737	Pubmed	doi: 10.1271/bbb.90146	no comments
Record 2292	PHI:2066	Uniprot	Q51WZ9	Broad	MGG_09559.5	70-15	MgAtg9	no data found					na	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			AR	19556868	Pubmed	no data found	no comments
Record 2293	PHI:2067	Uniprot	G4NDE1	Genbank	MGG_00937.5	70-15	ABC4	no data found					no	318829	Magnaporthe oryzae		B157	Rice blast	Monocot	112509	Barley	no data found			leaves	multidrug resistance	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	reduced	no data found	Resveratrol; Miconazole; Cycloheximide; Camptothecin; Methotrexate	Resveratrol: 501-36-0; Miconazole: 22916-47-8; Cycloheximide: 66-81-9; Camptothecin: 7689-03-4; Methotrexate: 59-05-2	no data found			no data found	Insertional mutagenesis screen for pathogenicity mutants of Magnaporthe grisea obtained via Agrobacterium tumefaciens -mediated transformation (ATMT )			AR	18034832	Pubmed	DOI:10.1111/j.1574-6968.2007.00937.x	The mutant abc4 showed increased sensitivity to resveratrol, miconazole and cycloheximide, whereas the difference in growth was not signiﬁcant in case of camptothecin and methotrexate.
Record 2294	PHI:2068	Uniprot	G4NIP2	Genbank	XP_361689	70-15	DES1	Chromosome IV					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	Nakdongbyeo			leaves	regulation of ferrous ions	no data found	no data found	no data found	Reduced virulence	no data found	no	no data found	yes	brown granule generation and cell death	aberrant	no data found	wild type	wild type	Diphenyleneiodonium	Diphenyleneiodonium: 244-54-2	no data found			no data found	Gene deletion: full; Gene complementation			AR	19390617	Pubmed	doi:10.1371/jo urnal.ppat.1000 4 01	the attenuated virulence phenotypes of des1 deletion mutant and DES1 T-DN A mutant were rescued in the rice sheath cells in which ROS generation was inhibited by DPI. Treatment with DPI completely prevented the production of brown granules, and both mutants could develop IH.
Record 2295	PHI:2068	Uniprot	G4NIP2	Genbank	XP_361689	70-15	DES1	Chromosome IV					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	Nakdongbyeo			leaves	regulation of ferrous ions	no data found	no data found	no data found	Reduced virulence	no data found	no	no data found	yes	no data found	aberrant	no data found	enhanced	wild type	Diphenyleneiodonium	Diphenyleneiodonium: 244-54-2	no data found			no data found	Insertional mutagenesis screen for pathogenicity mutants of Magnaporthe grisea obtained via Agrobacterium tumefaciens -mediated transformation (ATMT )			AR	19390617	Pubmed	doi:10.1371/jo urnal.ppat.1000 4 01	the attenuated virulence phenotypes of des1 deletion mutant and DES1 T-DN A mutant were rescued in the rice sheath cells in which ROS generation was inhibited by DPI. Treatment with DPI completely prevented the production of brown granules, and both mutants could develop IH.
Record 2296	PHI:2068	Uniprot	G4NIP2	Genbank	XP_361689	70-15	DES1	Chromosome IV					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4679	Onion	no data found			epidermis	regulation of ferrous ions	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no	yes	no data found	no data found	no data found	no data found	no data found	Diphenyleneiodonium	Diphenyleneiodonium: 244-54-2	no data found			Callose deposition	Gene deletion: full; Gene complementation			AR	19390617	Pubmed	doi:10.1371/jo urnal.ppat.1000 4 01	Treatment of DPI recovered the frequencies of IH development by des1 deletion mutant and DES1 T-DNA mutant up to 28% and 21%, respectively.
Record 2297	PHI:2068	Uniprot	G4NIP2	Genbank	XP_361689	70-15	DES1	Chromosome IV					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4679	Onion	no data found			epidermis	regulation of ferrous ions	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no	yes	no data found	no data found	no data found	no data found	no data found	Diphenyleneiodonium	Diphenyleneiodonium: 244-54-2	no data found			Callose deposition	Insertional mutagenesis screen for pathogenicity mutants of Magnaporthe grisea obtained via Agrobacterium tumefaciens -mediated transformation (ATMT )			AR	19390617	Pubmed	doi:10.1371/jo urnal.ppat.1000 4 01	Treatment of DPI recovered the frequencies of IH development by des1 deletion mutant and DES1 T-DNA mutant up to 28% and 21%, respectively.
Record 2298	PHI:2069	Uniprot	Q52EB3	Genbank	MGG_06393.6	70-15	Moatg1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2299	PHI:2070	Uniprot	Q51ZN8	Genbank	MGG_05998.6	70-15	Moatg2	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2300	PHI:2071	Uniprot	Q51LD2	Genbank	MGG_02959.6	70-15	Moatg3	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2301	PHI:2072	Uniprot	Q523C3	Genbank	MGG_03580.6	70-15	Moatg4	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2302	PHI:2073	Uniprot	Q525E4	Genbank	MGG_09262.6	70-15	Moatg5	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2303	PHI:2074	Uniprot	G4N6Q1	Genbank	MGG_03694.6	70-15	Moatg6	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	reduced	no data found	reduced	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2304	PHI:2075	Uniprot	Q52CS0	Genbank	MGG_07297.6	70-15	Moatg7	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2305	PHI:2076	Uniprot	Q51MW4	Genbank	MGG_01062.6	70-15	Moatg8	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2306	PHI:2077	Uniprot	Q51WZ9	Genbank	MGG_09559.6	70-15	Moatg9	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2307	PHI:2078	Uniprot	G4MYZ2	Genbank	MGG_14737.6	70-15	Moatg10	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2308	PHI:2079	Uniprot	Q51P78	Genbank	MGG_00598.6	70-15	Moatg12	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2309	PHI:2080	Uniprot	G4NC26	Genbank	MGG_00454.6	70-15	Moatg13	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2310	PHI:2081	Uniprot	G4N703	Genbank	MGG_12828.6	70-15	Moatg15	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2311	PHI:2082	Uniprot	Q520U5	Genbank	MGG_05255.6	70-15	Moatg16	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2312	PHI:2083	Uniprot	Q51Y68	Genbank	MGG_07667.6	70-15	Moatg17	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2313	PHI:2084	Uniprot	Q524W4	Genbank	MGG_03139.6	70-15	Moatg18	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2314	PHI:2085	Uniprot	Q51UJ9	Genbank	MGG_04486.6	70-15	Moatg11	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2315	PHI:2086	Uniprot	Q522W5	Genbank	MGG_03638.6	70-15	Moatg24	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2316	PHI:2087	Uniprot	G4N8A1	Genbank	MGG_03459.6	70-15	Moatg26	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2317	PHI:2088	Uniprot	G4MR15	Genbank	MGG_02386.6	70-15	Moatg27	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2318	PHI:2089	Uniprot	G4MXR9	Genbank	MGG_08061.6	70-15	Moatg28	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2319	PHI:2090	Uniprot	G4NIZ2	Genbank	MGG_02790.6	70-15	Moatg29	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO-39			leaves	no data found	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19717456	Pubmed	doi  10.1073  pnas.0901477106	no comments
Record 2320	PHI:2091	Uniprot	Q525E4	GenBank	EF486491	70-15	MgATG5	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	minor brown single lesion	reduced	reduced	reduced	reduced	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	AR	19629489	PubMed	DOI 10.1007/s00294-009-0259-5	no comments
Record 2321	PHI:2091	Uniprot	Q525E4	GenBank	EF486491	70-15	MgATG5	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	ZJ-8			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	yes	no	no data found	reduced	reduced	reduced	reduced	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	AR	19629489	PubMed	DOI 10.1007/s00294-009-0259-5	no comments
Record 2322	PHI:2092	Uniprot	G4MNL6	Genbank	MGG_05643.5	70-15	Cch1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	Nakaizumi			leaves	Ca2+-permeable channel	no data found	no data found	no data found	Reduced virulence	no data found	yes	no data found	no data found	no data found	reduced;aberrant	no data found	reduced	reduced	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	AR	18433453	PubMed	doi:10.1111/j.1365-2958.2008.06242.x	no comments
Record 2323	PHI:2092	Uniprot	G4MNL6	Genbank	MGG_05643.5	70-15	Cch1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4564	Wheat	Norin			leaves	Ca2+-permeable channel	no data found	no data found	no data found	Reduced virulence	no data found	yes	no data found	no data found	no data found	reduced;aberrant	no data found	reduced	reduced	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	AR	18433453	PubMed	doi:10.1111/j.1365-2958.2008.06242.x	no comments
Record 2324	PHI:2092	Uniprot	G4MNL6	Genbank	MGG_05643.5	70-15	Cch1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4564	Wheat	Chinese Spring			leaves	Ca2+-permeable channel	no data found	no data found	no data found	Reduced virulence	no data found	yes	no data found	no data found	no data found	reduced;aberrant	no data found	reduced	reduced	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	AR	18433453	PubMed	doi:10.1111/j.1365-2958.2008.06242.x	no comments
Record 2325	PHI:2093	Uniprot	G4NGX3	Genbank	MGG_12128.5	70-15	Mid1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	Nakaizumi			leaves	Ca2+-permeable channel	no data found	no data found	no data found	Unaffected pathogenicity	no data found	yes	no data found	no data found	no data found	reduced	no data found	reduced	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	AR	18433453	PubMed	doi:10.1111/j.1365-2958.2008.06242.x	no comments
Record 2326	PHI:2093	Uniprot	G4NGX3	Genbank	MGG_12128.5	70-15	Mid1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4564	Wheat	Norin			leaves	Ca2+-permeable channel	no data found	no data found	no data found	Reduced virulence	no data found	yes	no data found	no data found	no data found	reduced	no data found	reduced	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	AR	18433453	PubMed	doi:10.1111/j.1365-2958.2008.06242.x	no comments
